City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,sandnessjoen,66.0217,12.6316,8.29,81,75,5.66,NO,2024-04-08
190,city of balikpapan,-1.242,116.8942,25.97,94,40,0.0,ID,2024-04-08
191,crane,31.3974,-102.3501,23.12,35,29,4.92,US,2024-04-08
192,valley city,46.9233,-98.0032,3.29,100,100,4.63,US,2024-04-08
193,ingraj bazar,25.0,88.15,28.29,40,74,7.04,IN,2024-04-08
194,lautoka,-17.6167,177.4667,24.92,83,75,0.0,FJ,2024-04-08
195,rechka-vydrino,51.485,104.8461,-0.23,97,100,1.18,RU,2024-04-08
196,keflavik,64.0049,-22.5624,4.24,60,0,11.32,IS,2024-04-08
197,yanjiang,30.1211,104.6481,16.56,89,100,0.64,CN,2024-04-08
198,galliano,29.4422,-90.2992,25.0,69,40,6.17,US,2024-04-08
199,neka,36.6508,53.299,11.62,84,77,2.6,IR,2024-04-08
200,zhangjiakou shi xuanhua qu,40.6103,115.0447,10.86,42,19,4.9,CN,2024-04-08
201,aripuana,-9.1667,-60.6333,33.33,50,100,1.62,BR,2024-04-08
202,kokoda,-8.8785,147.7407,23.81,94,100,2.06,PG,2024-04-08
203,arkalyk,50.2486,66.9114,8.04,86,14,6.37,KZ,2024-04-08
204,zheleznogorsk-ilimskiy,56.5768,104.1217,-11.46,98,75,0.89,RU,2024-04-08
205,iskateley,67.6803,53.1512,-17.77,99,15,2.24,RU,2024-04-08
206,trincomalee,8.5711,81.2335,28.88,67,97,5.5,LK,2024-04-08
207,belozersk,60.0326,37.7957,6.66,83,14,3.58,RU,2024-04-08
208,roanoke rapids,36.4615,-77.6542,23.44,49,0,4.63,US,2024-04-08
209,kapuskasing,49.4169,-82.4331,10.03,72,100,2.63,CA,2024-04-08
210,canyon lake,29.8752,-98.2625,25.52,78,100,0.89,US,2024-04-08
211,vanimo,-2.6741,141.3028,26.27,89,96,2.19,PG,2024-04-08
212,antsiranana,-12.2787,49.2917,26.4,83,96,5.66,MG,2024-04-08
213,yangambi,0.8102,24.4336,26.57,67,90,1.44,CD,2024-04-08
214,tateyama,34.9833,139.8667,17.83,98,100,5.36,JP,2024-04-08
215,luderitz,-26.6481,15.1594,15.69,94,43,1.3,NA,2024-04-08
216,edson,53.5835,-116.4356,8.57,32,21,2.49,CA,2024-04-08
217,tsengel,49.4783,100.8894,7.11,65,100,2.25,MN,2024-04-08
218,altinyayla,39.2725,36.751,9.95,64,100,4.62,TR,2024-04-08
219,montemor-o-novo,38.6481,-8.2145,16.53,60,23,6.3,PT,2024-04-08
220,mugia,43.1041,-9.2179,13.28,60,9,9.51,ES,2024-04-08
221,gudari,19.35,83.7833,27.47,54,77,0.21,IN,2024-04-08
222,luis correia,-2.8792,-41.6669,31.0,74,75,3.6,BR,2024-04-08
223,tyrone,33.4712,-84.5972,24.56,50,40,1.79,US,2024-04-08
224,port lincoln,-34.7333,135.8667,13.92,58,74,7.02,AU,2024-04-08
225,oregon,44.0001,-120.5014,3.67,57,18,1.89,US,2024-04-08
226,mariental,-24.6333,17.9667,21.93,27,0,7.15,NA,2024-04-08
227,sunagawa,43.4864,141.9056,6.77,90,100,2.23,JP,2024-04-08
